ID,AADT,Length,NumLane,LWIDTH,FuncDum,Shoulder,SHType,SHWidth,SHMark,Median,MedWidth,Medmark,TERRDUM,curv,SEAL,SPEED,LowSp,MedSp,HiSp,PerHV,LOSDUM,ROUGH,RUTT,Rain,Sun,THUNDER,WIND,Fatal,Major,Minor,Crash
1,15692.5,332,1,3,0,0,0,2.1,0,0,5,0,0,0.7975,0,20,1,0,0,"6,935",0,0,0,"26,667","2,667",30,0,0,3,0,3
2,15692.5,333,1,3,0,0,0,2.1,0,0,5,0,0,0.3474,0,20,1,0,0,"6,935",0,0,0,"33,333","2,625",30,0,0,3,0,3
3,12827,200,1,3.2,0,0,0,2.1,0,1,3.5,0,0,0.4595,0,20,1,0,0,8.22,0,0,0,37.5,"2,625",25,0,0,0,0,0
4,12986.25,1064,2,3,0,0,0,2.1,0,1,0,0,1,"1,221",1,60,0,1,0,"5,355",1,60,2.2,30,3,25,0,0,7,1,8
5,28713.75,755,3,4.2,0,0,0,3,0,1,0,0,1,0.6747,1,60,0,1,0,4.66,0,85.5,6.25,60,3,25,0,0,23,6,29
6,12561.75,1458,4,3.2,0,0,0,3,0,0,2.5,0,0,"28,583",1,60,0,1,0,0,0,81.5,3.4,"106,667",3,25,0,0,3,2,5
7,21835,1132,4,3,0,1,0,0,0,0,3.5,0,0,0.3619,1,60,0,1,0,4.92,0,70.5,2.8,"106,667",3,25,0,0,8,5,13
8,21835,772,6,3,0,1,0,0,0,0,5,0,0,0.4051,1,60,0,1,0,4.92,0,87,3.8,"106,667",3,25,0,0,5,1,6
9,28713.75,391,1,4,0,1,0,0,0,1,0,0,0,"13,227",0,20,1,0,0,4.66,0,0,0,"106,667",3,25,0,0,4,0,4
10,8367.75,836,2,3,0,0,0,2.5,0,1,0,0,0,0.5263,1,80,0,1,0,"68,725",1,104,6.4,0,"2,333",20,0,0,3,0,3
11,6014.5,3230,2,2.8,1,0,0,0,0,1,0,0,0,0.7338,1,60,0,1,0,"147,675",0,106.75,2.7,0,"2,333",20,0,0,16,3,19
12,18788.25,1721,4,2.9,0,1,0,0,0,1,1.8,0,1,"17,558",1,60,0,1,0,3.66,0,87,3.95,37.5,"2,333",20,0,0,26,7,33
13,12986.25,370,1,2.9,0,1,0,0,0,0,3.5,0,0,0.3864,0,20,1,0,0,"5,355",0,0,0,50,"2,333",20,0,0,0,0,0
14,12986.25,368,2,2.9,0,1,0,0,0,0,3.5,0,1,0.491,1,60,0,1,0,"5,355",0,72,2.2,50,"2,333",20,0,0,0,0,0
15,26146,5341,4,3.5,0,0,0,2.5,0,0,6,0,0,0.3633,1,60,0,1,0,"6,345",0,"76,714","4,657","33,333","2,333",20,0,1,31,10,42
16,15692.5,87,1,3,0,1,0,0,0,0,1.8,0,0,"19,117",0,20,1,0,0,"6,935",0,0,0,"33,333","2,333",20,0,0,1,0,1
17,21835,1702,4,3.5,0,1,0,0,0,1,0,0,0,0.6467,1,60,0,1,0,4.92,0,76,2.7,"33,333","2,333",20,0,0,22,5,27
18,28713.75,708,4,3.2,0,1,0,0,0,1,0,0,1,"21,854",1,60,0,1,0,4.66,0,85,7.9,"33,333","2,333",20,0,0,21,4,25
19,26146,3627,4,3.5,0,0,1,2.8,0,0,1.5,0,0,0.6846,1,70,0,1,0,"6,345",0,57,"2,733","33,333","2,333",20,0,0,27,5,32
20,6591,5243,2,3.2,1,0,0,3,0,1,0,0,0,"16,653",1,80,0,1,0,"99,975",1,85.8,4.84,"33,333","2,333",20,0,1,7,2,10
21,17650.5,3480,4,2.7,1,1,0,0,0,0,3.9,0,0,"14,081",1,60,0,1,0,"36,825",0,73.5,"3,283",0,"2,667",20,0,1,34,14,49
22,17650.5,3833,4,2.7,1,1,0,0,0,0,3.9,0,0,"13,203",1,60,0,1,0,"36,825",0,"65,833","2,683",0,"2,667",20,0,1,23,9,33
23,10250.5,1793,2,2.9,1,1,0,0,0,1,0,1,0,0.407,1,60,0,1,0,"40,725",1,59,2,0,"2,667",20,0,0,17,2,19
24,5504.5,1914,2,2,1,1,0,0,0,1,0,0,0,0.7696,1,60,0,1,0,"15,275",1,66.5,2.65,50,"2,333",25,0,0,3,1,4
25,12179.75,160,3,4.1,1,1,0,0,0,1,0,0,0,0.659,1,60,0,1,0,11.24,0,67,1.6,50,"2,333",25,0,0,2,0,2
26,12179.75,161,3,4.1,1,1,0,0,0,1,0,0,0,0.659,1,60,0,1,0,11.24,0,67,1.6,50,"2,333",25,0,0,2,0,2
27,7243.5,1444,4,2.8,1,1,0,0,0,1,0,0,0,0.4827,1,60,0,1,0,9.37,0,55,1.5,"33,333","2,333",25,0,0,8,0,8
28,21061,3816,4,3.2,0,1,0,0,0,0,3.7,0,0,0.6271,1,60,0,1,0,3.99,0,71.6,2.74,"33,333","2,333",25,0,0,18,5,23
29,22373,2305,5,3,0,1,0,0,0,1,0,1,0,0.6589,1,60,0,1,0,3.99,0,63,1.85,"33,333","2,333",25,0,0,11,5,16
30,15605,842,1,3,0,0,0,1.5,0,1,0,0,0,"15,538",0,20,1,0,0,5.32,0,0,0,"33,333","2,333",25,0,0,10,0,10
31,21061,1516,4,3,0,1,0,0,0,0,3.7,0,0,0.7086,1,60,0,1,0,3.99,0,60.5,3.4,"33,333","2,333",25,0,0,6,1,7
32,13435,2381,2,3,0,0,0,0.9,0,1,0,1,1,0.6549,1,70,0,1,0,8.88,1,62,4.65,"33,333","2,333",25,0,0,2,0,2
33,54534.25,858,5,3,0,1,0,0,0,0,7.5,0,0,0.233,1,70,0,1,0,0,0,52,1.3,37.5,"2,625",25,0,0,5,5,10
34,32061.5,1954,4,3,0,1,0,0,0,0,11.5,0,0,0.9542,1,60,0,1,0,3.2,0,59,3.5,37.5,"2,625",25,0,1,22,3,26
35,32061.5,6326,4,2.8,0,1,0,0,0,0,5,0,0,0.6608,1,60,0,1,0,3.2,0,"50,667","2,467",37.5,"2,625",25,0,1,51,6,58
36,38555.25,2676,4,2.6,0,1,0,0,0,0,1.8,0,0,0.7908,1,60,0,1,0,6.62,0,73,3.95,37.5,"2,625",25,0,0,34,10,44
37,38555.25,727,4,2.5,0,1,0,0,0,0,4.3,0,0,0.4718,1,60,0,1,0,6.62,0,71,3.95,50,"2,625",25,0,0,5,0,5
38,6374,346,2,3.2,1,1,0,0,0,0,1.7,0,0,"11,109",0,20,1,0,0,3.55,0,0,0,37.5,"2,625",25,0,0,3,0,3
39,6374,345,1,3.2,0,1,0,0,0,0,1.7,0,0,"11,208",0,20,1,0,0,3.55,0,0,0,37.5,"2,625",25,0,0,5,0,5
40,6374,1663,4,3,1,1,0,0,0,0,3.7,0,0,0.6854,0,20,1,0,0,3.55,0,0,0,"33,333","2,625",25,0,0,1,0,1
41,6374,1679,4,3,1,1,0,0,0,0,3.7,0,0,0.6866,1,60,0,1,0,3.55,0,98,4.6,"33,333","2,625",25,0,0,1,0,1
42,15322,8399,4,2.7,0,0,0,2.1,0,0,3.5,0,0,0.4859,1,70,0,1,0,"134,825",0,"64,667","3,978","33,333","2,625",25,0,1,21,10,32
43,30125,3629,4,2.7,0,0,0,1.8,0,0,4.2,0,0,0.1384,1,70,0,1,0,3.19,0,45,"2,767",40,"2,625",25,14,0,18,9,27
44,41928,3375,6,3,0,1,0,0,0,0,4.7,0,0,0.5259,1,70,0,1,0,3.3,0,"57,333","3,367",40,"2,625",25,14,0,17,8,25
45,52304,5763,4,3,0,1,0,0,0,0,2.3,0,0,0.7572,1,80,0,1,0,4.85,0,51,"5,383",60,"2,625",25,14,1,20,5,26
46,2284,2810,2,2.2,1,0,0,6.5,0,1,0,1,0,"11,626",1,70,0,1,0,7.4,0,61,2.65,60,"2,625",25,14,0,0,0,0
47,4635.5,2490,3,2.3,1,1,0,0,0,1,0,1,0,0.8878,1,70,0,1,0,"255,425",0,82,"4,767",60,"2,625",25,14,0,2,0,2
48,21760.75,2315,4,2.1,0,1,0,0,0,0,3.8,0,0,0.329,1,60,0,1,0,"9,405",0,"73,333","5,567",60,"2,625",25,11,1,15,7,23
49,51193.5,2141,4,2.8,0,1,0,0,0,0,11,0,0,0.636,1,70,0,1,0,3.49,1,78.5,4.1,40,"2,625",20,13,1,19,4,24
50,34812.75,4127,5,3,0,1,0,0,0,0,10,0,0,0.262,1,80,0,1,0,"4,165",0,48,"2,575",40,"2,625",20,13,0,21,5,26
51,22986.25,822,4,2.9,0,1,0,0,0,0,2.5,0,0,0.7026,1,60,0,1,0,"30,625",0,92,3.5,40,"2,625",20,14,0,11,2,13
52,51193.5,3600,5,2.6,0,1,0,0,0,0,1.9,0,0,0.8258,1,60,0,1,0,3.49,0,75.75,"3,025",37.5,"2,625",25,13,0,29,5,34
53,47677.25,3597,5,2.8,0,1,0,0,0,0,11,0,0,0.6429,1,80,0,1,0,3.02,0,"33,333",1.5,37.5,"2,625",25,13,1,21,5,27
54,927.5,10071,2,2.4,1,0,0,0.9,0,1,0,1,1,0.9837,1,100,0,0,1,"76,025",0,69.1,5.24,40,3,25,15,0,2,1,3
55,17164.75,1954,2,2.8,0,1,0,0,0,1,0,1,0,"20,158",1,60,0,1,0,5.6,1,66.5,2.45,60,3,25,22,0,10,3,13
56,16492.75,1685,4,2.5,0,1,0,0,0,0,5.2,0,0,0.2241,1,60,0,1,0,3.97,0,"70,333","2,767","106,667",3,25,9,0,18,2,20
57,16928.5,383,1,2.9,0,1,0,0,0,1,0,1,0,0.366,0,20,1,0,0,"10,885",0,0,0,"106,667",3,25,9,0,0,0,0
58,16928.5,1491,4,2.5,0,1,0,0,0,0,2,0,0,0.3171,1,60,0,1,0,"10,885",0,66,5.9,"106,667",3,25,9,0,9,1,10
59,15741,4289,4,2.6,0,1,0,0,0,0,2.5,0,0,0.6104,1,60,0,1,0,2.71,0,69.2,3.24,"106,667",3,25,9,0,27,3,30
60,83236.75,136,1,3.4,0,1,0,0,1,1,0,1,0,"4,101",0,20,1,0,0,0,0,0,0,"106,667",3,25,9,0,0,0,0
61,9542.25,7409,2,2.6,1,0,0,3,0,1,0,1,0,0.1962,1,100,0,0,1,19.49,1,"61,875","3,875",75,"2,625",20,8,2,11,1,14
62,34219,7440,6,2.6,0,1,0,0,0,0,4,0,0,0.8519,1,60,0,1,0,10.73,1,"89,625","6,538",60,"2,625",20,8,1,106,23,130
